l1,aaa,lor,enroll,speaking,sex,family
Russian,26,3,101,574,Female,Indo-European
Portugese,25,5,106,533,Female,Indo-European
Romanian,36,2,86,534,Female,Indo-European
Polish,31,2,100,494,Female,Indo-European
Spanish,35,4,118,480,Female,Indo-European
Russian,38,5,90,518,Female,Indo-European
Chinese,22,1,67,514,Female,Sino-Tibetan
Russian,41,5,90,527,Female,Indo-European
Russian,23,3,90,520,Female,Indo-European
Polish,26,2,100,584,Female,Indo-European
Russian,24,2,90,534,Female,Indo-European
Russian,26,1,92,501,Female,Indo-European
Russian,44,2,90,538,Female,Indo-European
German,38,1,100,555,Female,Indo-European
Romanian,40,3,86,549,Female,Indo-European
Hungarian,20,2,96,527,Female,Uralic
Estonian,16,1,90,520,Female,Uralic
Croatian,26,3,93,540,Female,Indo-European
German,37,1,94,537,Female,Indo-European
Hungarian,37,2,86,503,Female,Uralic
Japanese,35,15,101,526,Female,Japanese
Portugese,34,4,106,477,Female,Indo-European
Romanian,30,2,86,579,Female,Indo-European
Russian,42,4,84,489,Female,Indo-European
Turkish,13,25,79,551,Female,Altaic
Spanish,32,2,85,485,Female,Indo-European
Finnish,22,1,111,595,Female,Uralic
French,21,1,113,524,Female,Indo-European
Bulgarian,42,1,90,503,Female,Indo-European
Spanish,20,7,118,575,Female,Indo-European
Slovak,22,2,94,515,Female,Indo-European
Russian,24,1,84,538,Female,Indo-European
Portugese,20,1,106,527,Female,Indo-European
Tagalog,32,4,83,453,Female,Austronesian
Arabic,24,3,93,488,Female,Afro-Asiatic
Romanian,34,5,86,546,Female,Indo-European
Russian,31,3,90,485,Female,Indo-European
Persian,24,10,77,480,Female,Indo-European
Arabic,39,0,49,509,Female,Afro-Asiatic
Estonian,25,3,90,517,Female,Uralic
Russian,26,5,90,524,Female,Indo-European
Swahili,19,7,68,465,Female,Niger-Congo
Russian,22,2,90,582,Female,Indo-European
Serbian,35,4,85,478,Female,Indo-European
Russian,28,4,90,530,Female,Indo-European
Portugese,26,1,97,558,Female,Indo-European
Persian,19,1,77,463,Female,Indo-European
Norwegian,48,8,103,619,Female,Indo-European
Romanian,33,4,86,547,Female,Indo-European
Russian,26,7,90,521,Female,Indo-European
Greek,28,1,102,507,Female,Indo-European
Serbian,30,3,78,519,Female,Indo-European
German,23,2,101,641,Female,Indo-European
English,38,1,94,538,Female,Indo-European
Spanish,36,9,86,504,Female,Indo-European
French,24,0,113,572,Female,Indo-European
Russian,25,1,90,514,Female,Indo-European
Russian,32,3,90,503,Female,Indo-European
Spanish,21,2,118,488,Female,Indo-European
German,20,0,101,560,Female,Indo-European
Persian,29,3,19,517,Female,Indo-European
Vietnamese,29,19,67,477,Female,Austro-Asiatic
Russian,25,5,92,505,Female,Indo-European
German,8,12,101,513,Female,Indo-European
Japanese,39,4,101,468,Female,Japanese
German,20,4,101,611,Female,Indo-European
Spanish,33,2,83,524,Female,Indo-European
Serbian,19,1,85,520,Female,Indo-European
Russian,25,1,84,552,Female,Indo-European
Russian,27,2,92,530,Female,Indo-European
Russian,36,2,90,526,Female,Indo-European
Norwegian,23,3,113,493,Female,Indo-European
Russian,25,4,90,514,Female,Indo-European
Romanian,37,1,86,500,Female,Indo-European
Indonesian,27,1,64,512,Female,Austronesian
Latvian,25,2,90,517,Female,Indo-European
Kurdish,17,2,85,540,Female,Indo-European
French,33,2,113,508,Female,Indo-European
Russian,31,4,96,512,Female,Indo-European
Romanian,24,4,86,528,Female,Indo-European
German,27,8,101,553,Female,Indo-European
Russian,30,3,90,509,Female,Indo-European
Swahili,24,3,43,515,Female,Niger-Congo
Indonesian,27,2,64,490,Female,Austronesian
Portugese,30,3,17,436,Female,Indo-European
Russian,18,2,90,580,Female,Indo-European
Russian,26,1,90,516,Female,Indo-European
Russian,21,3,84,520,Female,Indo-European
Russian,30,3,90,503,Female,Indo-European
Turkish,27,5,79,489,Female,Altaic
English,23,1,93,524,Female,Indo-European
Serbian,30,7,85,457,Female,Indo-European
Romanian,25,2,90,517,Female,Indo-European
Russian,27,1,84,533,Female,Indo-European
Serbian,33,2,85,476,Female,Indo-European
Russian,13,4,90,544,Female,Indo-European
Turkish,23,2,79,473,Female,Altaic
German,34,2,101,625,Female,Indo-European
Russian,34,2,90,509,Female,Indo-European
German,43,3,101,535,Female,Indo-European
Russian,25,2,90,505,Female,Indo-European
Indonesian,35,5,64,517,Female,Austronesian
Serbian,22,1,85,518,Female,Indo-European
Arabic,0,36,95,531,Female,Afro-Asiatic
Spanish,31,8,82,513,Female,Indo-European
English,24,4,54,531,Female,Indo-European
German,30,7,101,529,Female,Indo-European
German,45,3,101,559,Female,Indo-European
Indonesian,32,2,64,551,Female,Austronesian
German,25,2,101,578,Female,Indo-European
Arabic,28,3,49,492,Female,Afro-Asiatic
Russian,26,3,90,544,Female,Indo-European
German,21,1,101,581,Female,Indo-European
Serbian,24,2,85,552,Female,Indo-European
Polish,29,1,100,512,Female,Indo-European
German,31,4,101,619,Female,Indo-European
Arabic,26,2,79,481,Female,Afro-Asiatic
Norwegian,21,4,86,533,Female,Indo-European
Persian,29,5,77,513,Female,Indo-European
Indonesian,21,1,64,506,Female,Austronesian
Turkish,21,10,79,549,Female,Altaic
Spanish,28,3,118,488,Female,Indo-European
Spanish,33,6,86,536,Female,Indo-European
French,27,2,113,549,Female,Indo-European
Russian,30,6,90,532,Female,Indo-European
Russian,26,2,90,484,Female,Indo-European
Polish,23,1,100,527,Female,Indo-European
Polish,19,9,100,540,Female,Indo-European
Russian,33,2,90,545,Female,Indo-European
Ukranian,42,0,90,521,Female,Indo-European
Russian,34,2,90,528,Female,Indo-European
Spanish,20,3,82,506,Female,Indo-European
Serbian,25,2,91,508,Female,Indo-European
Russian,16,3,90,481,Female,Indo-European
German,29,2,101,587,Female,Indo-European
Portugese,23,2,106,540,Female,Indo-European
Russian,25,1,90,542,Female,Indo-European
Spanish,20,1,51,620,Female,Indo-European
German,21,3,100,549,Female,Indo-European
Portugese,18,1,106,471,Female,Indo-European
Kurdish,20,2,79,450,Female,Indo-European
Arabic,20,7,49,518,Female,Afro-Asiatic
German,42,11,101,552,Female,Indo-European
Russian,26,4,90,506,Female,Indo-European
Polish,25,4,100,508,Female,Indo-European
Russian,38,9,90,500,Female,Indo-European
Croatian,41,4,85,498,Female,Indo-European
Arabic,19,2,31,505,Female,Afro-Asiatic
German,21,0,101,534,Female,Indo-European
Russian,22,3,84,516,Female,Indo-European
Russian,37,3,90,506,Female,Indo-European
French,29,3,101,530,Female,Indo-European
Indonesian,28,3,64,498,Female,Austronesian
Russian,22,4,90,491,Female,Indo-European
Portugese,21,14,106,456,Female,Indo-European
Hungarian,24,2,90,541,Female,Uralic
French,27,4,26,507,Female,Indo-European
Russian,22,2,90,550,Female,Indo-European
Czech,27,2,95,539,Female,Indo-European
Armenian,50,2,47,478,Female,Indo-European
Persian,17,3,77,480,Female,Indo-European
Romanian,32,9,86,502,Female,Indo-European
Russian,34,3,84,530,Female,Indo-European
Indonesian,29,7,64,503,Female,Austronesian
Danish,29,1,124,546,Female,Indo-European
Russian,30,2,90,525,Female,Indo-European
Slovak,28,3,94,531,Female,Indo-European
Russian,22,2,90,578,Female,Indo-European
Pashto,36,3,19,508,Female,Indo-European
Russian,20,6,90,501,Female,Indo-European
Lithuanian,37,2,90,520,Female,Indo-European
Spanish,31,2,82,492,Female,Indo-European
Russian,45,2,95,529,Female,Indo-European
Portugese,25,4,106,519,Female,Indo-European
Indonesian,29,1,64,486,Female,Austronesian
Russian,30,1,90,459,Female,Indo-European
